,img,bank,card_name,cashback_rate,cashback_cap,cashback_benchmark,category,cashback_from,cashback_till,cashback_weekends_only,cashback_monthly_basis,cashback_single_receipt
16,https://ringgitplus.com/img/card-400/5d9ff9a04945eeac7b690da5/bank-rakyat-platinum-explorer-credit-card-i.jpg,bank_rakyat,bank_rakyat_platinum_explorer_credit_card-i,5.0,83,any amount,airlines tickets and hotel bookings,0.0,,False,False,False
17,https://ringgitplus.com/img/card-400/519489e2193821ed4a000086/citi-premiermiles-mastercard.jpg,citibank,citi_premiermiles_mastercard,10.0,10000000000,from RM20 and above in a single receipt,fine dining & food deliveries,20.0,,False,False,True
18,https://ringgitplus.com/img/card-400/519489e2193821ed4a000086/citi-premiermiles-mastercard.jpg,citibank,citi_premiermiles_mastercard,10.0,80,from RM200 and above monthly,online groceries,200.0,,False,True,False
19,https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,0.2,10000000000,up to RM499 monthly,petrol,0.0,499.0,False,True,False
20,https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,0.2,10000000000,up to RM499 monthly,groceries,0.0,499.0,False,True,False
21,https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,0.2,10000000000,up to RM499 monthly,dining,0.0,499.0,False,True,False
22,https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,0.2,10000000000,up to RM499 monthly,grab,0.0,499.0,False,True,False
23,https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,0.2,10000000000,any amount monthly,other retail spends,0.0,,False,True,False
24,https://ringgitplus.com/img/card-400/588ffbba58ee29f075029557/citi-simplicity-mastercard.jpg,citibank,citi_simplicity_mastercard,10.0,10000000000,any amount monthly,interest back,0.0,,False,True,False
25,https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,0.2,10000000000,"from RM1 up to RM1,499 monthly",petrol,1.0,1499.0,False,True,False
26,https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,0.2,10000000000,"from RM1 up to RM1,499 monthly",groceries,1.0,1499.0,False,True,False
27,https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,0.2,10000000000,"from RM1 up to RM1,499 monthly",dining,1.0,1499.0,False,True,False
28,https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,0.2,10000000000,"from RM1 up to RM1,499 monthly",grab,1.0,1499.0,False,True,False
29,https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,0.2,10000000000,any amount monthly,other retail spends,0.0,,False,True,False
30,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e1/hsbc-amanah-mpower-platinum-credit-card-i.jpg,hsbc,hsbc_amanah_mpower_platinum_credit_card-i,1.0,15,"up to RM2,000 monthly",petrol,0.0,2000.0,False,True,False
