,img,bank,card_name,point,category,each_spending
144,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000fb/singapore-airlines-krisflyer-american-express-gold.jpg,maybank,singapore_airlines_krisflyer_american_express_gold,1.0,on all retail (except for government bodies and utilities),2
145,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e4/maybank-manchester-united-visa-card.jpg,maybank,maybank_manchester_united_visa_card,10.0,at united direct online megastore and outlet,1
146,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e4/maybank-manchester-united-visa-card.jpg,maybank,maybank_manchester_united_visa_card,5.0,on groceries,1
147,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e4/maybank-manchester-united-visa-card.jpg,maybank,maybank_manchester_united_visa_card,1.0,"on education, utilities, insurance and 0% ezypay",1
148,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000eb/maybank-visa-infinite.jpg,maybank,maybank_visa_infinite,5.0,on all overseas retail,1
149,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000eb/maybank-visa-infinite.jpg,maybank,maybank_visa_infinite,2.0,on all local retail,1
150,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000eb/maybank-visa-infinite.jpg,maybank,maybank_visa_infinite,1.0,"on petrol, utilities, education, insurance and ezypay instalment",1
151,https://ringgitplus.com/img/card-400/53327be0dc39712b6c00000c/maybank-2-cards-premier.jpg,maybank,maybank_2_cards_premier,5.0,on all local and overseas spending with maybank 2 cards reserve american express card,1
152,https://ringgitplus.com/img/card-400/53327be0dc39712b6c00000c/maybank-2-cards-premier.jpg,maybank,maybank_2_cards_premier,1.0,"on utilities, education, insurance and ezypay instalment with maybank 2 cards reserve american express card",1
153,https://ringgitplus.com/img/card-400/519489e2193821ed4a000100/maybank-american-express-platinum.jpg,maybank,maybank_american_express_platinum,5.0,"on groceries, selected cinemas, participating bookstores and telecommunication charges",1
154,https://ringgitplus.com/img/card-400/519489e2193821ed4a000100/maybank-american-express-platinum.jpg,maybank,maybank_american_express_platinum,2.0,on all local and overseas retail spends,1
155,https://ringgitplus.com/img/card-400/519489e2193821ed4a000100/maybank-american-express-platinum.jpg,maybank,maybank_american_express_platinum,1.0,"on petrol, utilities, education, insurance and ezypay instalment",1
156,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e6/petronas-maybank-visa-gold.jpg,maybank,petronas_maybank_visa_gold,8.0,on groceries every weekend,1
157,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e6/petronas-maybank-visa-gold.jpg,maybank,petronas_maybank_visa_gold,5.0,on weekdays at petronas,1
158,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e6/petronas-maybank-visa-gold.jpg,maybank,petronas_maybank_visa_gold,1.0,"on education, insurance, utilites, 0% ezypay",1
